sgRNA,Gene,Endura,Addgene
sg_34630,OR51D1,84.12788298575198,84.96992316150757
sg_30072,MPL,627.7234345859956,645.366797345736
sg_36055,PAQR7,112.00457793961063,113.29323088201008
sg_26083,LAPTM4A,159.29539973633513,204.33243426933961
sg_44368,SLC1A2,194.63906655283446,250.86358266730804
sg_5941,C9orf84,49.282014293428674,70.8082693012563
sg_19580,GPR12,296.1898838847481,356.06443991488885
sg_16946,FKBP11,82.1366904890478,70.8082693012563
sg_35272,OR7D4,538.6175703584831,610.9742093994115
sg_36686,PCNXL3,96.57283609015316,123.4086979250467
sg_38708,PRAF2,178.2117284550249,99.13157702175882
sg_11950,CYP2S1,252.38364895725596,220.5171815381982
sg_10345,COL17A1,176.2205359583207,155.77819246276385
sg_16639,FCRL5,342.9829075572965,434.96508285057445
sg_44993,SLC25A6,397.2429030924857,337.8565992374229
sg_45593,SLC35B1,88.60806610333641,82.94682975290024
sg_56293,UGT2B7,125.4451272923639,188.14768700048103
sg_9719,CLPSL2,441.0491380199779,447.10364330221836
sg_30290,MRS2,147.34824475610998,109.24704406479543
sg_4570,BFAR,99.0618267110334,84.96992316150757
sg_37391,PIGL,144.85925413522975,135.54725837669062
sg_2449,APLNR,402.7186824584222,362.1337201407108
sg_39063,PRSS41,107.02659669785015,66.76208248404166
sg_23303,IL27RA,144.85925413522975,256.93286289313
sg_15152,ERN1,470.41922734636466,378.3184674095694
sg_58224,ZDHHC3,255.86823582648827,232.65574198984214
sg_2429,APH1A,254.37484145396013,337.8565992374229
sg_17997,GAL3ST4,205.09282716053147,240.74811562427143
sg_9801,CLSTN3,255.86823582648827,311.5563849255277
sg_48425,SPTLC2,351.44547566828936,256.93286289313
sg_5290,C16orf62,436.07115677821736,386.4108410439987
sg_28871,MCOLN2,461.4588611111958,352.0182530976742
sg_15668,FAF2,51.27320679013287,20.23093408607323
sg_28327,MAGED4B,154.8152166187507,194.21696722630298
sg_5818,C5orf15,213.55539527152428,230.6326485812348
sg_9465,CLEC12B,268.8109870550655,250.86358266730804
sg_40104,RAMP3,46.29522554837239,62.71589566682701
sg_3550,ATP2B3,129.42751228577228,113.29323088201008
sg_40520,RHBDF1,141.87246539017346,163.87056609719315
sg_141,ABCA7,68.69614113629451,86.99301657011489
sg_40494,RHBDD2,234.9607146110943,147.68581882833456
sg_38249,PNLDC1,271.29997767594574,238.7250222156641
sg_9115,CKLF-CMTM1,216.54218401658056,151.7320056455492
sg_33652,OR10J1,232.47172399021406,329.76422560299363
sg_50502,TERT,379.81996874632404,418.78033558171586
sg_40988,RNF186,204.5950290363554,224.56336835541285
sg_42808,SEMA4F,84.62568110992802,125.43179133365402
sg_39850,PVRL3,259.3528226957206,184.10150018326638
sg_29491,MGAT4A,115.48916480884296,99.13157702175882
sg_36482,PCDHB9,249.39686021219967,339.87969264603026
sg_39608,PTPRE,212.06200089899613,273.1176101619886
